Rank,BIB,Team,Members,Club,Split,Time
1,0107,Frederik og Stefan,0107,1,0107,00:57:36
3,0136,Team HYBRD,0136,3,0136,00:51:07
7,0142,Kuldi,0142,7,0142,01:02:27
8,0140,Raven and Jaguar,0140,8,0140,01:02:00
9,0145,GP,0145,9,0145,01:02:53
13,0103,MAKE IT REIN,0103,13,0103,01:06:45
14,0137,Trad Squad,0137,14,0137,01:06:48
15,0155,I go you go,0155,15,0155,01:08:29
16,0160,All show no go,0160,16,0160,01:09:03
17,0168,Birmingham lads,0168,17,0168,01:09:07
19,0106,Soberkings,0106,19,0106,01:10:32
21,0147,Steinkovic,0147,21,0147,01:17:11
